subid,gender,condition,error,trial
23,2,0,5,14
23,2,0,3,15
23,2,0,4,16
23,2,0,0,17
23,2,0,1,18
23,2,0,4,19
23,2,0,1,20
23,2,0,3,21
23,2,0,0,22
23,2,0,3,23
23,2,0,3,24
23,2,0,0,25
23,2,0,1,26
23,2,0,3,27
23,2,0,1,28
23,2,0,2,29
23,2,0,1,30
23,2,0,2,31
23,2,0,2,32
23,2,0,2,33
23,2,0,0,34
23,2,0,5,35
23,2,0,2,36
23,2,0,6,37
23,2,0,1,38
23,2,0,2,39
23,2,0,2,40
23,2,0,1,41
23,2,0,0,42
24,2,0,8,1
24,2,0,4,2
24,2,0,3,3
24,2,0,3,4
24,2,0,2,5
24,2,0,9,6
24,2,0,1,7
24,2,0,0,8
24,2,0,6,9
24,2,0,6,10
24,2,0,1,11
24,2,0,1,12
24,2,0,0,13
24,2,0,1,14
24,2,0,5,15
24,2,0,5,16
24,2,0,4,17
24,2,0,3,18
24,2,0,4,19
24,2,0,3,20
24,2,0,4,21
24,2,0,2,22
24,2,0,2,23
24,2,0,0,24
24,2,0,1,25
24,2,0,2,26
24,2,0,8,27
24,2,0,6,28
24,2,0,6,29
24,2,0,5,30
24,2,0,8,31
24,2,0,6,32
24,2,0,4,33
24,2,0,4,34
24,2,0,2,35
24,2,0,2,36
24,2,0,2,37
24,2,0,1,38
24,2,0,3,39
24,2,0,5,40
24,2,0,7,41
24,2,0,3,42
25,2,0,2,1
25,2,0,9,2
25,2,0,2,3
25,2,0,4,4
25,2,0,1,5
25,2,0,1,6
25,2,0,2,7
25,2,0,1,8
25,2,0,1,9
25,2,0,1,10
25,2,0,5,11
25,2,0,2,12
25,2,0,2,13
25,2,0,4,14
25,2,0,1,15
25,2,0,2,16
25,2,0,2,17
25,2,0,3,18
25,2,0,1,19
25,2,0,4,20
25,2,0,2,21
25,2,0,3,22
25,2,0,1,23
25,2,0,1,24
25,2,0,3,25
25,2,0,1,26
25,2,0,1,27
25,2,0,0,28
25,2,0,1,29
25,2,0,3,30
25,2,0,3,31
25,2,0,2,32
25,2,0,2,33
25,2,0,1,34
25,2,0,4,35
25,2,0,0,36
25,2,0,2,37
25,2,0,1,38
25,2,0,2,39
25,2,0,2,40
25,2,0,3,41
25,2,0,3,42
26,1,0,5,1
26,1,0,5,2
26,1,0,0,3
26,1,0,4,4
26,1,0,8,5
26,1,0,3,6
26,1,0,3,7
26,1,0,4,8
26,1,0,7,9
26,1,0,3,10
26,1,0,0,11
26,1,0,3,12
26,1,0,1,13
26,1,0,6,14
26,1,0,4,15
26,1,0,1,16
26,1,0,3,17
26,1,0,3,18
26,1,0,6,19
26,1,0,3,20
26,1,0,3,21
26,1,0,5,22
26,1,0,3,23
26,1,0,1,24
26,1,0,5,25
26,1,0,1,26
26,1,0,6,27
26,1,0,3,28
26,1,0,4,29
26,1,0,4,30
26,1,0,0,31
26,1,0,2,32
26,1,0,1,33
26,1,0,2,34
26,1,0,3,35
26,1,0,0,36
26,1,0,1,37
26,1,0,7,38
26,1,0,7,39
26,1,0,1,40
26,1,0,2,41
26,1,0,2,42
27,2,0,1,1
27,2,0,1,2
27,2,0,1,3
27,2,0,2,4
27,2,0,2,5
27,2,0,6,6
27,2,0,7,7
27,2,0,7,8
27,2,0,2,9
27,2,0,2,10
27,2,0,3,11
27,2,0,1,12
27,2,0,3,13
27,2,0,3,14
27,2,0,1,15
27,2,0,4,16
27,2,0,4,17
27,2,0,1,18
27,2,0,2,19
27,2,0,1,20
27,2,0,1,21
27,2,0,1,22
27,2,0,1,23
27,2,0,1,24
27,2,0,1,25
27,2,0,0,26
27,2,0,2,27
27,2,0,1,28
27,2,0,4,29
27,2,0,5,30
27,2,0,2,31
27,2,0,3,32
27,2,0,1,33
27,2,0,4,34
27,2,0,1,35
27,2,0,9,36
27,2,0,1,37
27,2,0,0,38
27,2,0,2,39
27,2,0,2,40
27,2,0,3,41
27,2,0,2,42
28,2,0,0,1
28,2,0,2,2
28,2,0,5,3
28,2,0,4,4
28,2,0,3,5
28,2,0,3,6
28,2,0,3,7
28,2,0,2,8
28,2,0,2,9
28,2,0,3,10
28,2,0,4,11
28,2,0,3,12
28,2,0,4,13
28,2,0,2,14
28,2,0,2,15
28,2,0,2,16
28,2,0,2,17
28,2,0,0,18
28,2,0,1,19
28,2,0,3,20
28,2,0,1,21
28,2,0,2,22
28,2,0,3,23
28,2,0,1,24
28,2,0,6,25
28,2,0,5,26
28,2,0,1,27
28,2,0,1,28
28,2,0,1,29
28,2,0,2,30
28,2,0,3,31
28,2,0,4,32
28,2,0,4,33
28,2,0,1,34
28,2,0,6,35
28,2,0,1,36
28,2,0,0,37
28,2,0,2,38
28,2,0,4,39
28,2,0,2,40
28,2,0,2,41
28,2,0,1,42
29,2,0,5,1
29,2,0,7,2
29,2,0,4,3
29,2,0,5,4
29,2,0,6,5
29,2,0,3,6
29,2,0,2,7
29,2,0,0,8
29,2,0,3,9
29,2,0,3,10
29,2,0,4,11
29,2,0,3,12
29,2,0,4,13
29,2,0,3,14
29,2,0,1,15
29,2,0,1,16
29,2,0,5,17
29,2,0,2,18
29,2,0,1,19
29,2,0,2,20
29,2,0,1,21
29,2,0,1,22
29,2,0,1,23
29,2,0,4,24
29,2,0,4,25
29,2,0,3,26
29,2,0,0,27
29,2,0,2,28
29,2,0,1,29
29,2,0,6,30
29,2,0,1,31
29,2,0,2,32
29,2,0,1,33
29,2,0,3,34
29,2,0,4,35
29,2,0,4,36
29,2,0,0,37
29,2,0,0,38
29,2,0,3,39
29,2,0,3,40
29,2,0,5,41
29,2,0,1,42
30,2,0,2,1
30,2,0,1,2
30,2,0,5,3
30,2,0,5,4
30,2,0,1,5
30,2,0,1,6
30,2,0,0,7
30,2,0,4,8
30,2,0,2,9
30,2,0,6,10
30,2,0,4,11
30,2,0,4,12
30,2,0,2,13
30,2,0,0,14
30,2,0,3,15
30,2,0,4,16
30,2,0,7,17
30,2,0,4,18
30,2,0,5,19
30,2,0,0,20
30,2,0,0,21
30,2,0,2,22
30,2,0,5,23
30,2,0,1,24
30,2,0,3,25
30,2,0,0,26
30,2,0,2,27
30,2,0,4,28
30,2,0,0,29
30,2,0,1,30
30,2,0,0,31
30,2,0,1,32
30,2,0,7,33
30,2,0,3,34
30,2,0,9,35
30,2,0,3,36
30,2,0,3,37
30,2,0,6,38
30,2,0,4,39
30,2,0,0,40
30,2,0,6,41
30,2,0,0,42
31,2,0,0,1
31,2,0,3,2
31,2,0,4,3
31,2,0,9,4
31,2,0,7,5
31,2,0,2,6
31,2,0,0,7
31,2,0,1,8
31,2,0,1,9
31,2,0,2,10
31,2,0,1,11
31,2,0,0,12
31,2,0,3,13
31,2,0,2,14
31,2,0,0,15
31,2,0,1,16
31,2,0,1,17
31,2,0,7,18
31,2,0,2,19
31,2,0,1,20
31,2,0,2,21
31,2,0,2,22
31,2,0,2,23
31,2,0,0,24
31,2,0,0,25
31,2,0,6,26
31,2,0,3,27
31,2,0,2,28
31,2,0,3,29
31,2,0,2,30
31,2,0,1,31
31,2,0,1,32
31,2,0,6,33
31,2,0,1,34
31,2,0,6,35
31,2,0,5,36
31,2,0,0,37
31,2,0,3,38
31,2,0,0,39
31,2,0,1,40
31,2,0,2,41
31,2,0,2,42
32,2,0,3,1
32,2,0,7,2
32,2,0,1,3
32,2,0,5,4
32,2,0,7,5
32,2,0,8,6
32,2,0,3,7
32,2,0,0,8
32,2,0,1,9
32,2,0,1,10
32,2,0,3,11
32,2,0,7,12
32,2,0,0,13
32,2,0,2,14
32,2,0,2,15
32,2,0,3,16
32,2,0,2,17
32,2,0,5,18
32,2,0,3,19
32,2,0,5,20
32,2,0,0,21
32,2,0,7,22
32,2,0,0,23
32,2,0,0,24
